CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
808206,278,7,2.50%,5,1.80%,120,1,0.80%,1,0.80%,0,,83.2%,86.1%,49.7%,49.9%
808243,519,18,3.50%,9,1.70%,112,5,4.50%,5,4.50%,0,,88.6%,85.1%,82.1%,84.3%
811534,467,0,0.00%,0,0.00%,114,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
816826,276,2,0.70%,2,0.70%,49,0,0.00%,0,0.00%,0,,56.1%,66.9%,0.0%,0.0%
818599,444,15,3.40%,10,2.30%,103,1,1.00%,1,1.00%,0,,88.1%,90.1%,55.5%,56.1%
818723,301,2,0.70%,1,0.30%,56,0,0.00%,0,0.00%,0,,56.1%,40.9%,0.0%,0.0%
819447,206,7,3.40%,5,2.40%,45,5,11.10%,4,8.90%,0,,88.1%,90.8%,92.9%,92.7%
819448,272,3,1.10%,2,0.70%,50,1,2.00%,1,2.00%,0,,66.2%,66.9%,68.5%,70.5%
820111,340,1,0.30%,1,0.30%,90,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
820268,340,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
820709,339,0,0.00%,0,0.00%,88,1,1.10%,1,1.10%,0,,0.0%,0.0%,57.9%,58.9%
821519,338,1,0.30%,1,0.30%,88,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
821587,443,3,0.70%,3,0.70%,113,0,0.00%,0,0.00%,0,,56.1%,66.9%,0.0%,0.0%
821588,341,0,0.00%,0,0.00%,89,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
822107,281,8,2.80%,4,1.40%,50,6,12.00%,3,6.00%,0,,85.3%,81.7%,93.6%,88.0%
822499,440,3,0.70%,3,0.70%,103,12,11.70%,9,8.70%,0,,56.1%,66.9%,93.5%,92.4%
822800,442,3,0.70%,2,0.50%,110,0,0.00%,0,0.00%,0,,56.1%,56.4%,0.0%,0.0%
822985,337,3,0.90%,2,0.60%,83,1,1.20%,1,1.20%,0,,61.3%,62.4%,59.1%,60.1%
823830,521,2,0.40%,2,0.40%,115,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
825318,279,2,0.70%,1,0.40%,45,0,0.00%,0,0.00%,0,,56.1%,48.4%,0.0%,0.0%
825822,501,5,1.00%,3,0.60%,125,0,0.00%,0,0.00%,0,,64.2%,62.4%,0.0%,0.0%
825940,425,4,0.90%,2,0.50%,109,3,2.80%,3,2.80%,0,,61.3%,56.4%,73.7%,76.1%
825941,449,3,0.70%,2,0.40%,107,1,0.90%,1,0.90%,0,,56.1%,48.4%,51.8%,52.1%
825969,447,3,0.70%,2,0.40%,104,0,0.00%,0,0.00%,0,,56.1%,48.4%,0.0%,0.0%
826275,427,0,0.00%,0,0.00%,115,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
826551,344,1,0.30%,1,0.30%,89,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
826800,306,1,0.30%,1,0.30%,53,2,3.80%,2,3.80%,0,,34.4%,40.9%,78.5%,81.2%
827944,435,9,2.10%,3,0.70%,107,2,1.90%,2,1.90%,0,,80.4%,66.9%,66.4%,68.0%
827945,442,6,1.40%,6,1.40%,115,8,7.00%,8,7.00%,0,,72.0%,81.7%,87.8%,89.8%
828011,507,1,0.20%,1,0.20%,123,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
828102,316,5,1.60%,2,0.60%,52,2,3.80%,2,3.80%,0,,75.5%,62.4%,78.5%,81.2%
829791,341,1,0.30%,1,0.30%,89,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
830685,452,1,0.20%,1,0.20%,118,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
830691,344,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
831238,313,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
832832,457,0,0.00%,0,0.00%,115,1,0.90%,1,0.90%,0,,0.0%,0.0%,51.8%,52.1%
832834,515,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
833508,277,0,0.00%,0,0.00%,51,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
833526,307,2,0.70%,1,0.30%,53,1,1.90%,1,1.90%,0,,56.1%,40.9%,66.4%,68.0%
835198,421,1,0.20%,1,0.20%,110,1,0.90%,1,0.90%,0,,27.4%,32.4%,51.8%,52.1%
835828,485,0,0.00%,0,0.00%,111,1,0.90%,1,0.90%,0,,0.0%,0.0%,51.8%,52.1%
836382,320,1,0.30%,1,0.30%,90,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
836435,338,1,0.30%,0,0.00%,84,1,1.20%,1,1.20%,0,,34.4%,0.0%,59.1%,60.1%
836460,343,0,0.00%,0,0.00%,90,2,2.20%,2,2.20%,0,,0.0%,0.0%,70.7%,72.9%
836554,434,2,0.50%,1,0.20%,112,0,0.00%,0,0.00%,0,,47.3%,32.4%,0.0%,0.0%
836590,433,3,0.70%,2,0.50%,107,3,2.80%,2,1.90%,0,,56.1%,56.4%,73.7%,68.0%
836864,285,0,0.00%,0,0.00%,91,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
838793,432,19,4.40%,9,2.10%,99,12,12.10%,9,9.10%,0,,91.7%,88.4%,93.8%,93.0%
842811,339,5,1.50%,2,0.60%,84,1,1.20%,1,1.20%,0,,73.6%,62.4%,59.1%,60.1%
843045,389,9,2.30%,5,1.30%,98,1,1.00%,1,1.00%,0,,81.7%,80.4%,55.5%,56.1%
843211,343,2,0.60%,1,0.30%,86,1,1.20%,1,1.20%,0,,52.6%,40.9%,59.1%,60.1%
843229,428,2,0.50%,1,0.20%,114,0,0.00%,0,0.00%,0,,47.3%,32.4%,0.0%,0.0%
843234,426,0,0.00%,0,0.00%,113,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
845834,309,3,1.00%,1,0.30%,54,0,0.00%,0,0.00%,0,,64.2%,40.9%,0.0%,0.0%
847718,444,1,0.20%,1,0.20%,112,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
847746,444,1,0.20%,1,0.20%,115,1,0.90%,1,0.90%,0,,27.4%,32.4%,51.8%,52.1%
847747,437,0,0.00%,0,0.00%,113,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
848519,445,1,0.20%,1,0.20%,116,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
848790,454,1,0.20%,0,0.00%,116,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
848791,458,1,0.20%,0,0.00%,118,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
848792,425,4,0.90%,2,0.50%,108,0,0.00%,0,0.00%,0,,61.3%,56.4%,0.0%,0.0%
848793,436,4,0.90%,2,0.50%,109,2,1.80%,2,1.80%,0,,61.3%,56.4%,64.9%,66.4%
848801,437,1,0.20%,0,0.00%,114,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
848802,444,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
849299,339,0,0.00%,0,0.00%,90,1,1.10%,1,1.10%,0,,0.0%,0.0%,57.9%,58.9%
849844,460,8,1.70%,4,0.90%,111,0,0.00%,0,0.00%,0,,76.6%,72.2%,0.0%,0.0%
849965,432,0,0.00%,0,0.00%,109,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
850205,336,6,1.80%,4,1.20%,86,1,1.20%,1,1.20%,0,,77.7%,78.8%,59.1%,60.1%
852762,423,0,0.00%,0,0.00%,113,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
853026,454,3,0.70%,1,0.20%,107,0,0.00%,0,0.00%,0,,56.1%,32.4%,0.0%,0.0%
854333,405,2,0.50%,1,0.20%,107,0,0.00%,0,0.00%,0,,47.3%,32.4%,0.0%,0.0%
854516,556,2,0.40%,1,0.20%,127,0,0.00%,0,0.00%,0,,40.7%,32.4%,0.0%,0.0%
854703,343,3,0.90%,1,0.30%,81,0,0.00%,0,0.00%,0,,61.3%,40.9%,0.0%,0.0%
854704,518,6,1.20%,4,0.80%,118,0,0.00%,0,0.00%,0,,68.9%,70.1%,0.0%,0.0%
854709,345,12,3.50%,6,1.70%,81,4,4.90%,4,4.90%,0,,88.6%,85.1%,83.2%,85.3%
854729,337,2,0.60%,0,0.00%,77,4,5.20%,4,5.20%,0,,52.6%,0.0%,84.2%,86.3%
854732,340,2,0.60%,1,0.30%,72,0,0.00%,0,0.00%,0,,52.6%,40.9%,0.0%,0.0%
854945,442,0,0.00%,0,0.00%,107,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
855012,433,4,0.90%,2,0.50%,104,0,0.00%,0,0.00%,0,,61.3%,56.4%,0.0%,0.0%
859642,437,1,0.20%,1,0.20%,104,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
867287,449,3,0.70%,3,0.70%,109,1,0.90%,1,0.90%,0,,56.1%,66.9%,51.8%,52.1%
867362,316,5,1.60%,3,0.90%,90,5,5.60%,5,5.60%,0,,75.5%,72.2%,84.9%,87.0%
867609,457,35,7.70%,20,4.40%,100,9,9.00%,7,7.00%,0,,96.1%,95.4%,90.9%,89.8%
867675,387,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
867712,474,25,5.30%,14,3.00%,107,5,4.70%,5,4.70%,0,,93.7%,93.0%,82.6%,84.7%
868414,480,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
868434,352,12,3.40%,7,2.00%,77,2,2.60%,2,2.60%,0,,88.1%,87.6%,72.9%,75.2%
869160,344,1,0.30%,1,0.30%,80,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
869163,358,41,11.50%,28,7.80%,79,19,24.10%,13,16.50%,0,,97.8%,98.3%,98.5%,97.6%
870548,511,0,0.00%,0,0.00%,124,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
870952,424,1,0.20%,1,0.20%,118,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
871785,465,4,0.90%,4,0.90%,102,7,6.90%,6,5.90%,0,,61.3%,72.2%,87.6%,87.7%
872782,311,4,1.30%,3,1.00%,89,1,1.10%,1,1.10%,0,,70.6%,74.9%,57.9%,58.9%
873105,405,2,0.50%,1,0.20%,106,1,0.90%,1,0.90%,0,,47.3%,32.4%,51.8%,52.1%
873120,473,4,0.80%,3,0.60%,105,1,1.00%,1,1.00%,0,,59.3%,62.4%,55.5%,56.1%
875046,478,5,1.00%,3,0.60%,107,0,0.00%,0,0.00%,0,,64.2%,62.4%,0.0%,0.0%
875142,429,1,0.20%,1,0.20%,101,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
875165,427,5,1.20%,3,0.70%,99,2,2.00%,2,2.00%,0,,68.9%,66.9%,68.5%,70.5%
876160,448,1,0.20%,1,0.20%,110,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
877319,519,0,0.00%,0,0.00%,114,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
877366,499,3,0.60%,3,0.60%,136,4,2.90%,3,2.20%,0,,52.6%,62.4%,74.5%,72.9%
877463,343,0,0.00%,0,0.00%,86,1,1.20%,1,1.20%,0,,0.0%,0.0%,59.1%,60.1%
877471,504,0,0.00%,0,0.00%,123,5,4.10%,4,3.30%,0,,0.0%,0.0%,80.4%,79.0%
877801,544,1,0.20%,1,0.20%,125,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
877972,512,2,0.40%,2,0.40%,126,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
877977,474,11,2.30%,7,1.50%,107,1,0.90%,1,0.90%,0,,81.7%,82.6%,51.8%,52.1%
878047,450,11,2.40%,5,1.10%,103,3,2.90%,3,2.90%,0,,82.7%,76.9%,74.5%,76.8%
878067,338,5,1.50%,2,0.60%,87,2,2.30%,1,1.10%,0,,73.6%,62.4%,71.0%,58.9%
878185,439,3,0.70%,2,0.50%,110,1,0.90%,1,0.90%,0,,56.1%,56.4%,51.8%,52.1%
878489,325,2,0.60%,2,0.60%,67,1,1.50%,1,1.50%,0,,52.6%,62.4%,62.5%,63.9%
878575,465,2,0.40%,2,0.40%,107,1,0.90%,1,0.90%,0,,40.7%,48.4%,51.8%,52.1%
878619,447,27,6.00%,14,3.10%,109,14,12.80%,14,12.80%,0,,94.6%,93.3%,94.3%,96.0%
878695,526,4,0.80%,3,0.60%,121,1,0.80%,1,0.80%,0,,59.3%,62.4%,49.7%,49.9%
878744,277,2,0.70%,0,0.00%,51,1,2.00%,1,2.00%,0,,56.1%,0.0%,68.5%,70.5%
879026,485,4,0.80%,2,0.40%,109,0,0.00%,0,0.00%,0,,59.3%,48.4%,0.0%,0.0%
879093,461,29,6.30%,15,3.30%,118,24,20.30%,13,11.00%,0,,95.0%,93.9%,97.8%,94.7%
879233,424,16,3.80%,9,2.10%,122,17,13.90%,10,8.20%,0,,90.1%,88.4%,94.9%,91.7%
879257,519,11,2.10%,4,0.80%,114,1,0.90%,1,0.90%,0,,80.4%,70.1%,51.8%,52.1%
879296,443,1,0.20%,1,0.20%,109,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
879381,342,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
879529,341,4,1.20%,2,0.60%,85,0,0.00%,0,0.00%,0,,68.9%,62.4%,0.0%,0.0%
879541,424,2,0.50%,2,0.50%,112,1,0.90%,1,0.90%,0,,47.3%,56.4%,51.8%,52.1%
879545,525,6,1.10%,2,0.40%,126,0,0.00%,0,0.00%,0,,66.2%,48.4%,0.0%,0.0%
880873,380,1,0.30%,0,0.00%,101,0,0.00%,0,0.00%,0,,34.4%,0.0%,0.0%,0.0%
881364,407,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
882017,423,3,0.70%,2,0.50%,107,1,0.90%,1,0.90%,0,,56.1%,56.4%,51.8%,52.1%
882227,342,3,0.90%,2,0.60%,86,2,2.30%,2,2.30%,0,,61.3%,62.4%,71.0%,73.4%
882255,473,3,0.60%,3,0.60%,111,2,1.80%,2,1.80%,0,,52.6%,62.4%,64.9%,66.4%
882445,447,1,0.20%,0,0.00%,111,1,0.90%,1,0.90%,0,,27.4%,0.0%,51.8%,52.1%
883995,442,26,5.90%,18,4.10%,113,18,15.90%,15,13.30%,0,,94.5%,95.1%,96.2%,96.3%
885285,505,1,0.20%,1,0.20%,127,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
885337,350,15,4.30%,7,2.00%,83,5,6.00%,5,6.00%,0,,91.4%,87.6%,85.7%,88.0%
885340,341,4,1.20%,2,0.60%,79,2,2.50%,2,2.50%,0,,68.9%,62.4%,72.3%,74.7%
885389,453,3,0.70%,2,0.40%,108,0,0.00%,0,0.00%,0,,56.1%,48.4%,0.0%,0.0%
886156,340,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
886371,330,0,0.00%,0,0.00%,86,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
886372,524,9,1.70%,6,1.10%,124,2,1.60%,2,1.60%,0,,76.6%,76.9%,63.2%,64.6%
886459,471,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
886502,523,7,1.30%,3,0.60%,115,0,0.00%,0,0.00%,0,,70.6%,62.4%,0.0%,0.0%
886514,495,4,0.80%,1,0.20%,122,0,0.00%,0,0.00%,0,,59.3%,32.4%,0.0%,0.0%
886516,435,3,0.70%,1,0.20%,112,2,1.80%,2,1.80%,0,,56.1%,32.4%,64.9%,66.4%
886518,472,1,0.20%,0,0.00%,108,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
886537,467,5,1.10%,4,0.90%,112,3,2.70%,2,1.80%,0,,66.2%,72.2%,73.2%,66.4%
887006,542,1,0.20%,1,0.20%,129,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
889085,543,1,0.20%,1,0.20%,127,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
889087,466,1,0.20%,1,0.20%,111,1,0.90%,1,0.90%,0,,27.4%,32.4%,51.8%,52.1%
889459,467,0,0.00%,0,0.00%,112,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
889673,336,9,2.70%,5,1.50%,85,1,1.20%,1,1.20%,0,,84.8%,82.6%,59.1%,60.1%
890009,476,6,1.30%,5,1.10%,108,1,0.90%,1,0.90%,0,,70.6%,76.9%,51.8%,52.1%
890072,547,7,1.30%,2,0.40%,122,3,2.50%,3,2.50%,0,,70.6%,48.4%,72.3%,74.7%
890155,489,9,1.80%,5,1.00%,122,4,3.30%,4,3.30%,0,,77.7%,74.9%,76.5%,79.0%
890564,503,4,0.80%,2,0.40%,124,1,0.80%,1,0.80%,0,,59.3%,48.4%,49.7%,49.9%
890639,522,8,1.50%,5,1.00%,113,3,2.70%,3,2.70%,0,,73.6%,74.9%,73.2%,75.6%
890738,532,9,1.70%,3,0.60%,121,1,0.80%,1,0.80%,0,,76.6%,62.4%,49.7%,49.9%
890753,315,12,3.80%,5,1.60%,53,1,1.90%,1,1.90%,0,,90.1%,84.0%,66.4%,68.0%
890791,345,8,2.30%,6,1.70%,79,1,1.30%,1,1.30%,0,,81.7%,85.1%,60.6%,61.8%
891145,493,49,9.90%,24,4.90%,128,15,11.70%,11,8.60%,0,,97.1%,96.0%,93.5%,92.3%
892210,422,9,2.10%,3,0.70%,98,3,3.10%,3,3.10%,0,,80.4%,66.9%,75.7%,78.2%
892344,434,1,0.20%,1,0.20%,110,0,0.00%,0,0.00%,0,,27.4%,32.4%,0.0%,0.0%
892710,430,0,0.00%,0,0.00%,112,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
893436,538,9,1.70%,5,0.90%,122,0,0.00%,0,0.00%,0,,76.6%,72.2%,0.0%,0.0%
894412,434,1,0.20%,1,0.20%,104,1,1.00%,1,1.00%,0,,27.4%,32.4%,55.5%,56.1%
895028,340,1,0.30%,1,0.30%,85,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
895413,343,0,0.00%,0,0.00%,83,1,1.20%,1,1.20%,0,,0.0%,0.0%,59.1%,60.1%
896959,442,2,0.50%,1,0.20%,106,3,2.80%,3,2.80%,0,,47.3%,32.4%,73.7%,76.1%
897256,480,20,4.20%,12,2.50%,106,5,4.70%,5,4.70%,0,,91.2%,91.3%,82.6%,84.7%
897603,446,2,0.40%,1,0.20%,109,0,0.00%,0,0.00%,0,,40.7%,32.4%,0.0%,0.0%
897906,436,3,0.70%,2,0.50%,101,0,0.00%,0,0.00%,0,,56.1%,56.4%,0.0%,0.0%
899265,333,4,1.20%,3,0.90%,91,0,0.00%,0,0.00%,0,,68.9%,72.2%,0.0%,0.0%
900013,297,1,0.30%,0,0.00%,54,0,0.00%,0,0.00%,0,,34.4%,0.0%,0.0%,0.0%
900059,454,14,3.10%,7,1.50%,104,8,7.70%,8,7.70%,0,,86.8%,82.6%,88.8%,91.0%
900795,499,33,6.60%,20,4.00%,120,10,8.30%,9,7.50%,0,,95.3%,94.9%,90.0%,90.7%
900796,526,17,3.20%,9,1.70%,113,5,4.40%,5,4.40%,0,,87.1%,85.1%,81.8%,84.0%
901443,440,1,0.20%,1,0.20%,113,1,0.90%,1,0.90%,0,,27.4%,32.4%,51.8%,52.1%
901598,459,1,0.20%,0,0.00%,109,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
901820,453,3,0.70%,2,0.40%,114,0,0.00%,0,0.00%,0,,56.1%,48.4%,0.0%,0.0%
901832,275,0,0.00%,0,0.00%,50,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
902146,302,0,0.00%,0,0.00%,53,1,1.90%,1,1.90%,0,,0.0%,0.0%,66.4%,68.0%
902563,307,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
902728,421,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
902763,335,7,2.10%,4,1.20%,85,3,3.50%,3,3.50%,0,,80.4%,78.8%,77.2%,79.9%
902781,468,1,0.20%,1,0.20%,105,1,1.00%,1,1.00%,0,,27.4%,32.4%,55.5%,56.1%
902853,425,4,0.90%,2,0.50%,108,1,0.90%,1,0.90%,0,,61.3%,56.4%,51.8%,52.1%
904800,238,1,0.40%,1,0.40%,50,0,0.00%,0,0.00%,0,,40.7%,48.4%,0.0%,0.0%
904801,363,4,1.10%,3,0.80%,103,0,0.00%,0,0.00%,0,,66.2%,70.1%,0.0%,0.0%
906031,406,0,0.00%,0,0.00%,102,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
906089,342,6,1.80%,3,0.90%,90,0,0.00%,0,0.00%,0,,77.7%,72.2%,0.0%,0.0%
906456,386,7,1.80%,4,1.00%,93,4,4.30%,3,3.20%,0,,77.7%,74.9%,81.2%,78.6%
906523,341,3,0.90%,1,0.30%,83,1,1.20%,1,1.20%,0,,61.3%,40.9%,59.1%,60.1%
906525,282,3,1.10%,1,0.40%,73,1,1.40%,1,1.40%,0,,66.2%,48.4%,61.6%,62.9%
906693,341,7,2.10%,5,1.50%,86,0,0.00%,0,0.00%,0,,80.4%,82.6%,0.0%,0.0%
906840,340,2,0.60%,1,0.30%,83,0,0.00%,0,0.00%,0,,52.6%,40.9%,0.0%,0.0%
906845,343,3,0.90%,1,0.30%,83,0,0.00%,0,0.00%,0,,61.3%,40.9%,0.0%,0.0%
906979,383,4,1.00%,2,0.50%,105,1,1.00%,1,1.00%,0,,64.2%,56.4%,55.5%,56.1%
906993,344,8,2.30%,3,0.90%,84,1,1.20%,1,1.20%,0,,81.7%,72.2%,59.1%,60.1%
906994,345,7,2.00%,3,0.90%,85,1,1.20%,1,1.20%,0,,79.5%,72.2%,59.1%,60.1%
906996,523,6,1.10%,3,0.60%,114,2,1.80%,2,1.80%,0,,66.2%,62.4%,64.9%,66.4%
907033,378,1,0.30%,1,0.30%,102,1,1.00%,1,1.00%,0,,34.4%,40.9%,55.5%,56.1%
907081,314,5,1.60%,1,0.30%,80,2,2.50%,1,1.30%,0,,75.5%,40.9%,72.3%,61.8%
907197,390,13,3.30%,5,1.30%,95,1,1.10%,1,1.10%,0,,87.8%,80.4%,57.9%,58.9%
907252,349,5,1.40%,4,1.10%,107,2,1.90%,2,1.90%,0,,72.0%,76.9%,66.4%,68.0%
907254,381,4,1.00%,2,0.50%,98,2,2.00%,2,2.00%,0,,64.2%,56.4%,68.5%,70.5%
907349,374,1,0.30%,1,0.30%,105,1,1.00%,1,1.00%,0,,34.4%,40.9%,55.5%,56.1%
907578,309,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
907590,488,5,1.00%,4,0.80%,113,0,0.00%,0,0.00%,0,,64.2%,70.1%,0.0%,0.0%
907669,455,22,4.80%,6,1.30%,113,6,5.30%,4,3.50%,0,,92.7%,80.4%,84.3%,79.9%
910172,348,11,3.20%,4,1.10%,82,2,2.40%,2,2.40%,0,,87.1%,76.9%,71.5%,73.9%
910610,445,19,4.30%,8,1.80%,101,3,3.00%,3,3.00%,0,,91.4%,86.1%,75.2%,77.7%
911052,469,2,0.40%,2,0.40%,100,7,7.00%,5,5.00%,0,,40.7%,48.4%,87.8%,85.6%
911064,380,2,0.50%,1,0.30%,101,1,1.00%,1,1.00%,0,,47.3%,40.9%,55.5%,56.1%
913157,384,1,0.30%,0,0.00%,101,3,3.00%,2,2.00%,0,,34.4%,0.0%,75.2%,70.5%
914298,470,5,1.10%,3,0.60%,104,1,1.00%,1,1.00%,0,,66.2%,62.4%,55.5%,56.1%
914710,432,1,0.20%,0,0.00%,113,0,0.00%,0,0.00%,0,,27.4%,0.0%,0.0%,0.0%
914917,411,24,5.80%,14,3.40%,104,12,11.50%,10,9.60%,0,,94.4%,94.0%,93.3%,93.5%
914983,377,2,0.50%,1,0.30%,103,0,0.00%,0,0.00%,0,,47.3%,40.9%,0.0%,0.0%
915140,416,8,1.90%,4,1.00%,107,3,2.80%,3,2.80%,0,,78.8%,74.9%,73.7%,76.1%
918977,385,5,1.30%,3,0.80%,96,2,2.10%,2,2.10%,0,,70.6%,70.1%,70.1%,72.2%
919099,356,14,3.90%,5,1.40%,51,3,5.90%,3,5.90%,0,,90.5%,81.7%,85.5%,87.7%
919103,383,0,0.00%,0,0.00%,103,1,1.00%,1,1.00%,0,,0.0%,0.0%,55.5%,56.1%
919332,376,0,0.00%,0,0.00%,110,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
919409,343,4,1.20%,3,0.90%,80,0,0.00%,0,0.00%,0,,68.9%,72.2%,0.0%,0.0%
919893,391,41,10.50%,29,7.40%,80,11,13.80%,10,12.50%,0,,97.3%,98.1%,94.8%,95.8%
928228,426,8,1.90%,4,0.90%,100,2,2.00%,1,1.00%,0,,78.8%,72.2%,68.5%,56.1%
928413,345,1,0.30%,1,0.30%,88,0,0.00%,0,0.00%,0,,34.4%,40.9%,0.0%,0.0%
928465,449,1,0.20%,1,0.20%,112,2,1.80%,1,0.90%,0,,27.4%,32.4%,64.9%,52.1%
929181,331,0,0.00%,0,0.00%,88,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
929248,375,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
929262,345,4,1.20%,1,0.30%,120,1,0.80%,1,0.80%,0,,68.9%,40.9%,49.7%,49.9%
929494,402,43,10.70%,21,5.20%,105,14,13.30%,11,10.50%,0,,97.4%,96.3%,94.5%,94.4%
931481,341,5,1.50%,2,0.60%,78,3,3.80%,3,3.80%,0,,73.6%,62.4%,78.5%,81.2%
933074,355,6,1.70%,3,0.80%,102,0,0.00%,0,0.00%,0,,76.6%,70.1%,0.0%,0.0%
933257,513,7,1.40%,3,0.60%,118,2,1.70%,2,1.70%,0,,72.0%,62.4%,64.1%,65.7%
935764,472,16,3.40%,9,1.90%,106,3,2.80%,3,2.80%,0,,88.1%,86.9%,73.7%,76.1%
936437,350,0,0.00%,0,0.00%,102,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
936498,470,5,1.10%,2,0.40%,102,2,2.00%,2,2.00%,0,,66.2%,48.4%,68.5%,70.5%
937694,374,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,,0.0%,0.0%,0.0%,0.0%
938607,463,1,0.20%,0,0.00%,114,1,0.90%,1,0.90%,0,,27.4%,0.0%,51.8%,52.1%
940903,339,4,1.20%,2,0.60%,81,2,2.50%,2,2.50%,0,,68.9%,62.4%,72.3%,74.7%
